feature_set,model_name,mode,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,threshold_mean,n_rows,n_splits
sk_windows_reliability,SVM_poly2,stratified 5-fold,0.6134742647058824,0.065425685037601,0.6172873282633395,0.7316666666666667,0.05783117190965825,0.3705882352941176,0.07803823036130351,-0.09392283583604533,32,5
sk_windows_reliability,RF_depth2,train-all,0.8806471306471307,0.0,0.8768537502763525,0.9615384615384616,0.0,0.40476190476190477,0.0,0.4141937768038095,162,1
sk_windows_reliability,RF_depth2,70/30 x50,0.581,0.05953990258641677,0.6195975548371241,0.7391666666666665,0.08612410296259178,0.3104,0.12485127151935617,0.44230681283204537,49,50
sk_windows_reliability,RF_depth2,stratified 5-fold,0.6049785539215687,0.13217311804217116,0.6236430713034931,0.6541666666666667,0.14053469322555195,0.3823529411764706,0.19509557590325882,0.44459310017167414,32,5
sk_windows_reliability,RF_depth3,train-all,0.9542124542124543,0.0,0.9453251590899556,0.9615384615384616,0.0,0.8214285714285714,0.0,0.4480550689332508,162,1
sk_windows_reliability,RF_depth3,70/30 x50,0.5774333333333332,0.060382309771433315,0.6173566409515856,0.6075,0.08663861725581727,0.5016,0.12321298632855224,0.4757804042961288,49,50
sk_windows_reliability,RF_depth3,stratified 5-fold,0.5938419117647059,0.09641557260407123,0.6070787772632067,0.5416666666666667,0.1821743670223668,0.5154411764705882,0.23065744009522057,0.47230472751147234,32,5
sk_all,LR_L2,train-all,0.9145299145299145,0.0,0.9083496283117508,0.9615384615384616,0.0,0.6904761904761905,0.0,0.41316900968419373,162,1
sk_all,LR_L2,70/30 x50,0.5607333333333332,0.07189819963748127,0.5496439051233595,0.5991666666666667,0.11840666741737516,0.5032,0.09536120804603936,0.435239738768901,49,50
sk_all,LR_L2,stratified 5-fold,0.5581311274509804,0.06696683187063641,0.5520433608005453,0.58,0.10773553009311478,0.47720588235294115,0.10316152886644461,0.4521127656747259,32,5
sk_all,LR_L1,train-all,0.8815628815628815,0.0,0.8731206216475386,0.9615384615384616,0.0,0.6309523809523809,0.0,0.41728054486837324,162,1
sk_all,LR_L1,70/30 x50,0.5609333333333334,0.0641388770992723,0.5539364800511971,0.6716666666666665,0.11536174987114807,0.4391999999999999,0.09649538849084965,0.4056410460034594,49,50
sk_all,LR_L1,stratified 5-fold,0.5661703431372549,0.02241803454855023,0.564094673746413,0.6666666666666667,0.06213783960769082,0.4169117647058823,0.12928636972985155,0.4071488639970509,32,5
sk_all,LR_elastic,train-all,0.8954517704517705,0.0,0.8899015958505023,0.9615384615384616,0.0,0.6309523809523809,0.0,0.38857617117610943,162,1
sk_all,LR_elastic,70/30 x50,0.5621333333333333,0.0669502634630946,0.5568865532920456,0.6183333333333333,0.11677376037068907,0.4664000000000001,0.08527039345517294,0.4119956983679714,49,50
sk_all,LR_elastic,stratified 5-fold,0.5569270833333333,0.04250942733108758,0.5577631859051558,0.6166666666666666,0.04677071733467425,0.4183823529411764,0.13021973710154636,0.43291572795146155,32,5
sk_all,SVM_poly2,train-all,0.9194139194139194,0.0,0.8972136861048798,0.9615384615384616,0.0,0.5476190476190477,0.0,0.06456665883639462,162,1
sk_all,SVM_poly2,70/30 x50,0.5838,0.06353829991080621,0.5924289143851348,0.7208333333333333,0.11524430571616108,0.368,0.1162067123706716,0.16858302414496618,49,50
sk_all,SVM_poly2,stratified 5-fold,0.5690900735294118,0.03613423927980177,0.58005376259682,0.6658333333333333,0.10993685056026987,0.3933823529411765,0.05062327787664265,0.22418105124887902,32,5
sk_all,RF_depth2,train-all,0.8653846153846154,0.0,0.8741274671648093,0.9615384615384616,0.0,0.38095238095238093,0.0,0.41340781331723503,162,1
sk_all,RF_depth2,70/30 x50,0.569,0.06212442711562373,0.5838233970593791,0.7641666666666667,0.08400148808205721,0.308,0.09707728879609277,0.4375257885714855,49,50
sk_all,RF_depth2,stratified 5-fold,0.5379534313725489,0.10425834777391182,0.5574727163600108,0.7458333333333333,0.12391193109086254,0.32426470588235295,0.15226803221036908,0.42822165227645215,32,5
sk_all,RF_depth3,train-all,0.9542124542124543,0.0,0.9529319601482233,0.9615384615384616,0.0,0.8333333333333334,0.0,0.46920992576615705,162,1
sk_all,RF_depth3,70/30 x50,0.5694,0.06082283927750972,0.5889716819180811,0.6383333333333333,0.10015266125049077,0.4456,0.1269985826692566,0.4707346476804885,49,50
sk_all,RF_depth3,stratified 5-fold,0.5444148284313726,0.1041609371622102,0.571463522753503,0.6316666666666666,0.19851182444490414,0.45588235294117646,0.18273205372951842,0.4645255067596287,32,5
