model_name,ablation,split_id,threshold_provenance,threshold_sample_count,threshold_cancer_cases,threshold_benign_cases,test_patients,test_target_cases,test_cancer_cases,test_benign_cases,lr1_c,current_lr2_c,threshold_youden,threshold_target,target_sensitivity,target_reached,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,true_positives,true_negatives,false_positives,false_negatives,profile_c,age_c,symmetry_c
recalibrated_joint_additive,profile_age,36,outer_train_full_chain_lr1_oof_meta_oof_scores,138,61,77,33,37,15,22,0.1,,0.5149912416873911,0.2778596507685761,0.95,True,0.6606060606060606,0.5941936378799123,0.8666666666666667,0.2727272727272727,0.5696969696969697,0.4482758620689655,0.75,0.22521132613291614,0.6397375497738396,-0.029950274582793958,0.8383774235274666,13,6,16,2,3.0,0.3,0.1
recalibrated_joint_additive,profile_symmetry,36,outer_train_full_chain_lr1_oof_meta_oof_scores,138,61,77,33,37,15,22,0.1,,0.43777405132288927,0.3047124399673122,0.95,True,0.5333333333333333,0.45097966262672146,0.8666666666666667,0.045454545454545456,0.45606060606060606,0.38235294117647056,0.3333333333333333,0.25866404233019846,0.7160490001823164,-0.3957490644675351,-0.08776860993039899,13,1,21,2,0.1,0.1,0.001
recalibrated_joint_additive,profile_age_symmetry,36,outer_train_full_chain_lr1_oof_meta_oof_scores,138,61,77,33,37,15,22,0.1,,0.5149303853099904,0.27782884945720326,0.95,True,0.6606060606060605,0.5925948155552836,0.8666666666666667,0.22727272727272727,0.546969696969697,0.43333333333333335,0.7142857142857143,0.22502733087539295,0.6392334798433537,-0.029705089853723648,0.8429345110268327,13,5,17,2,3.0,0.3,0.001
current_product_exact_legacy,current_product_exact_legacy,37,legacy_outer_train_fitted_lr1_fitted_lr2_scores,140,61,79,33,35,15,20,0.1,0.3,0.47500867452394174,0.31911198911912525,0.95,True,0.7366666666666667,0.7465555068501292,0.6666666666666666,0.65,0.6583333333333333,0.5882352941176471,0.7222222222222222,0.20626978565574158,0.6166569731381171,0.33862905389010534,0.7917754617584868,10,13,7,5,,,
current_architecture_oof_retrained,current_architecture_oof_retrained,37,outer_train_full_chain_lr1_oof_current_lr2_oof_scores,140,61,79,33,35,15,20,0.1,0.3,0.46046305806756366,0.3353500837542089,0.95,True,0.7066666666666667,0.6557120567680752,0.9333333333333333,0.2,0.5666666666666667,0.4666666666666667,0.8,0.2159483307851465,0.6198384089236267,-0.21867555244030537,1.353712958150918,14,4,16,1,,,
recalibrated_joint_additive,calibrated_profile,37,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.45234066079654667,0.332594346119095,0.95,True,0.66,0.7115769415769415,0.9333333333333333,0.15,0.5416666666666666,0.45161290322580644,0.75,0.23364400613462,0.6595680843957925,0.5428517620253975,2.452492082409997,14,3,17,1,0.1,0.1,0.1
recalibrated_joint_additive,profile_age,37,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.3671276429635125,0.2890821954549799,0.95,True,0.6833333333333333,0.6289763968660402,1.0,0.1,0.55,0.45454545454545453,1.0,0.21937492802500314,0.6275688344582095,0.05293451661475879,1.2420030784748965,15,2,18,0,3.0,0.3,0.1
recalibrated_joint_additive,profile_symmetry,37,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.4530910147544354,0.33240297163951166,0.95,True,0.6533333333333333,0.6952806452806453,0.9333333333333333,0.15,0.5416666666666666,0.45161290322580644,0.75,0.23346151680462518,0.6591847060859898,0.5567081163937804,2.4946795530551347,14,3,17,1,0.1,0.1,0.001
recalibrated_joint_additive,profile_age_symmetry,37,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.3829851372930087,0.2692670132466015,0.95,True,0.6966666666666667,0.6353455850331824,1.0,0.15,0.575,0.46875,1.0,0.21383889292767355,0.613722371639874,0.09578224684338062,1.2494167452200562,15,3,17,0,3.0,1.0,0.3
current_product_exact_legacy,current_product_exact_legacy,38,legacy_outer_train_fitted_lr1_fitted_lr2_scores,142,61,81,33,33,15,18,0.1,0.3,0.6300812905625482,0.2621527300695723,0.95,True,0.6,0.6109051148332822,0.8,0.3888888888888889,0.5944444444444444,0.5217391304347826,0.7,0.2877615708898786,0.8026066105085843,-0.09716209455389967,0.2726818364623458,12,7,11,3,,,
current_architecture_oof_retrained,current_architecture_oof_retrained,38,outer_train_full_chain_lr1_oof_current_lr2_oof_scores,142,61,81,33,33,15,18,0.1,0.3,0.48923082649698907,0.2606199941379616,0.95,True,0.7148148148148148,0.6762496898812689,1.0,0.3333333333333333,0.6666666666666666,0.5555555555555556,1.0,0.20850763794884278,0.5942704897652709,-0.17727307356897362,1.1402908891198302,15,6,12,0,,,
recalibrated_joint_additive,calibrated_profile,38,outer_train_full_chain_lr1_oof_meta_oof_scores,142,61,81,33,33,15,18,0.1,,0.42074767516532263,0.2606706463525514,0.95,True,0.5481481481481482,0.5807338858522091,0.9333333333333333,0.2222222222222222,0.5777777777777777,0.5,0.8,0.25013103824863664,0.6894407383856518,-0.01369736916353448,0.5059704698826389,14,4,14,1,0.003,0.1,0.1
recalibrated_joint_additive,profile_age,38,outer_train_full_chain_lr1_oof_meta_oof_scores,142,61,81,33,33,15,18,0.1,,0.4100627392077593,0.1988583329627226,0.95,True,0.7037037037037037,0.6841368952684742,1.0,0.2777777777777778,0.6388888888888888,0.5357142857142857,1.0,0.2133906918043884,0.6039726697276094,0.08014757141863806,0.9405558587268888,15,5,13,0,0.03,0.3,0.1
recalibrated_joint_additive,profile_symmetry,38,outer_train_full_chain_lr1_oof_meta_oof_scores,142,61,81,33,33,15,18,0.1,,0.41969399137430846,0.2601085429050645,0.95,True,0.5444444444444444,0.5791465842649075,0.9333333333333333,0.2222222222222222,0.5777777777777777,0.5,0.8,0.25019731157242353,0.6895128030545282,-0.013306193110869672,0.5051152141747258,14,4,14,1,0.001,0.1,0.001
