ablation,selection_step,candidate_c,profile_c,age_c,symmetry_c,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,selected,selected_at_grid_boundary,outer_split_id,selection_scope
profile_age,age_c,0.03,0.1,0.03,0.1,0.6711192066383324,0.6070969557743515,0.4262295081967213,0.8148148148148148,0.620522161505768,0.6341463414634146,0.6534653465346535,0.22586369050450603,0.6438379173018899,0.07725474979951236,1.356328609503052,False,False,0,outer_train_nested_full_chain
profile_age,age_c,0.1,0.1,0.1,0.1,0.6881198138028739,0.615993442677461,0.5081967213114754,0.7654320987654321,0.6368144100384537,0.62,0.6739130434782609,0.21943938466461696,0.6289462155902387,0.022934191394994877,1.1422321865035021,False,False,0,outer_train_nested_full_chain
profile_age,age_c,0.3,0.1,0.3,0.1,0.6935842946771908,0.6145829488829936,0.5081967213114754,0.7530864197530864,0.630641570532281,0.6078431372549019,0.6703296703296703,0.2179401757629194,0.6248005095256385,-0.016660725680850846,0.9750279235133261,False,False,0,outer_train_nested_full_chain
profile_age,age_c,1.0,0.1,1.0,0.1,0.693584294677191,0.6135247028785888,0.5081967213114754,0.7283950617283951,0.6182958915199352,0.5849056603773585,0.6629213483146067,0.217941221495903,0.6244735145450279,-0.03491522885838603,0.8958781434280876,True,False,0,outer_train_nested_full_chain
profile_age,age_c,3.0,0.1,3.0,0.1,0.6929771301356,0.612405508739641,0.5081967213114754,0.7283950617283951,0.6182958915199352,0.5849056603773585,0.6629213483146067,0.21805741705489268,0.6246598251502258,-0.040669103612114586,0.8706050631502109,False,False,0,outer_train_nested_full_chain
profile_symmetry,profile_c,0.001,0.001,0.1,0.1,0.560615260068812,0.4990931786715942,0.3442622950819672,0.691358024691358,0.5178101598866626,0.45652173913043476,0.5833333333333334,0.25176310294415705,0.7166727526599194,-0.2222842913133822,0.18738739202084817,False,False,0,outer_train_nested_full_chain
profile_symmetry,profile_c,0.003,0.003,0.1,0.1,0.559805707346691,0.4978784522806696,0.3442622950819672,0.691358024691358,0.5178101598866626,0.45652173913043476,0.5833333333333334,0.2514900392597469,0.7158584039848847,-0.22219224642493032,0.18793932383422013,False,False,0,outer_train_nested_full_chain
profile_symmetry,profile_c,0.01,0.01,0.1,0.1,0.5591985428051002,0.49692400848794316,0.3442622950819672,0.7160493827160493,0.5301558388990083,0.4772727272727273,0.5918367346938775,0.2506588242401728,0.713408718785971,-0.22217357831625464,0.18888169864508644,False,False,0,outer_train_nested_full_chain
profile_symmetry,profile_c,0.03,0.03,0.1,0.1,0.5567698846387371,0.4891222684028043,0.32786885245901637,0.7407407407407407,0.5343047965998785,0.4878048780487805,0.594059405940594,0.24911296474348082,0.7089250039857292,-0.22428964020306716,0.18438875797030996,False,False,0,outer_train_nested_full_chain
profile_symmetry,profile_c,0.1,0.1,0.1,0.1,0.5515077919449505,0.48180318292474056,0.2459016393442623,0.7654320987654321,0.5056668690548471,0.4411764705882353,0.5740740740740741,0.24792681903528355,0.704994488076306,-0.242419961417499,0.13033035089939665,True,False,0,outer_train_nested_full_chain
